Trial Number,Score,Max Tile
0,12276,1024
1,12748,1024
2,11228,1024
3,7124,512
4,12532,1024
5,3092,256
6,3560,256
7,3156,256
8,3420,256
9,16520,1024
10,14312,1024
11,4484,512
12,5332,512
13,7188,512
14,12092,1024
15,5556,512
16,1484,128
17,12792,1024
18,7140,512
19,7168,512
20,7168,512
21,4948,512
22,6388,512
23,7124,512
24,3128,256
25,7012,512
26,6660,512
27,5424,512
28,5280,512
29,7088,512
30,7056,512
31,5712,512
32,7436,512
33,3048,256
34,14536,1024
35,836,64
36,7380,512
37,3444,256
38,3204,256
39,3268,256
40,11432,1024
41,12320,1024
42,7384,512
43,5708,512
44,7708,512
45,5552,512
46,9688,1024
47,5560,512
48,5536,512
49,6668,512
50,5488,512
51,7076,512
52,5340,512
53,11376,1024
54,3056,256
55,6184,512
56,6852,512
57,2964,256
58,7152,512
59,2012,256
60,12208,1024
61,3088,256
62,2608,256
63,10932,1024
64,14764,1024
65,6464,512
66,4308,512
67,7264,512
68,5496,512
69,6532,512
70,1048,128
71,13548,1024
72,7112,512
73,5528,512
74,3132,256
75,2460,256
76,10308,1024
77,6076,512
78,5676,512
79,7272,512
80,5484,512
81,1348,128
82,7140,512
83,7128,512
84,12196,1024
85,7052,512
86,7476,512
87,11460,1024
88,6980,512
89,6960,512
90,7176,512
91,4592,512
92,5456,512
93,6908,512
94,7296,512
95,3412,256
96,7244,512
97,6276,512
98,7400,512
99,3216,256
