Trial Number,Score,Max Tile
0,7116,512
1,26484,2048
2,6384,512
3,12028,1024
4,7500,512
5,7204,512
6,7188,512
7,3048,256
8,12332,1024
9,15996,1024
10,5964,512
11,12144,1024
12,16168,1024
13,25516,2048
14,12360,1024
15,16080,1024
16,15364,1024
17,27228,2048
18,13836,1024
19,12452,1024
20,16328,1024
21,16136,1024
22,3508,256
23,16192,1024
24,27136,2048
25,16176,1024
26,14380,1024
27,15736,1024
28,27012,2048
29,25536,2048
30,16076,1024
31,15576,1024
32,16116,1024
33,15740,1024
34,10276,1024
35,11328,1024
36,16068,1024
37,26708,2048
38,14252,1024
39,16032,1024
40,15380,1024
41,15964,1024
42,14616,1024
43,16680,1024
44,15920,1024
45,15472,1024
46,16164,1024
47,14780,1024
48,25036,2048
49,2984,256
50,6268,512
51,10576,1024
52,27192,2048
53,16124,1024
54,15888,1024
55,14628,1024
56,14480,1024
57,6512,512
58,27340,2048
59,7308,512
60,14548,1024
61,12408,1024
62,15384,1024
63,16024,1024
64,26420,2048
65,14444,1024
66,16108,1024
67,7144,512
68,15424,1024
69,14476,1024
70,25356,2048
71,11708,1024
72,11844,1024
73,10404,1024
74,12500,1024
75,7156,512
76,26488,2048
77,15892,1024
78,12056,1024
79,14576,1024
80,7192,512
81,5456,512
82,15424,1024
83,26396,2048
84,12200,1024
85,27384,2048
86,16480,1024
87,16220,1024
88,7152,512
89,12636,1024
90,7144,512
91,15324,1024
92,3028,256
93,16088,1024
94,7224,512
95,27236,2048
96,7360,512
97,16244,1024
98,16016,1024
99,13624,1024
