Trial Number,Score,Max Tile
0,25484,2048
1,6924,512
2,13748,1024
3,14404,1024
4,31856,2048
5,23084,2048
6,15368,1024
7,7460,512
8,14404,1024
9,16148,1024
10,32240,2048
11,14164,1024
12,7184,512
13,16140,1024
14,22428,2048
15,15676,1024
16,15776,1024
17,16084,1024
18,7380,512
19,3292,256
20,12268,1024
21,23384,2048
22,15776,1024
23,15844,1024
24,26816,2048
25,16180,1024
26,14356,1024
27,7000,512
28,13332,1024
29,26688,2048
30,14480,1024
31,15868,1024
32,27216,2048
33,16032,1024
34,7072,512
35,13728,1024
36,15376,1024
37,16388,1024
38,27200,2048
39,11940,1024
40,12148,1024
41,14272,1024
42,16752,1024
43,14372,1024
44,10336,1024
45,25488,2048
46,16028,1024
47,7064,512
48,15428,1024
49,16048,1024
50,13544,1024
51,27044,2048
52,3056,256
53,15360,1024
54,5464,512
55,10652,1024
56,7480,512
57,11320,1024
58,14340,1024
59,15416,1024
60,23492,2048
61,12320,1024
62,15788,1024
63,15256,1024
64,15348,1024
65,26448,2048
66,4504,512
67,7064,512
68,15480,1024
69,6132,512
70,16176,1024
71,11608,1024
72,16160,1024
73,16164,1024
74,15388,1024
75,10580,1024
76,15956,1024
77,15348,1024
78,16356,1024
79,22708,2048
80,14492,1024
81,16116,1024
82,27196,2048
83,3108,256
84,16008,1024
85,26968,2048
86,12216,1024
87,15220,1024
88,23180,2048
89,23240,2048
90,31428,2048
91,12108,1024
92,7036,512
93,13516,1024
94,16472,1024
95,26228,2048
96,14156,1024
97,14676,1024
98,7352,512
99,6776,512
