Trial Number,Score,Max Tile
0,21528,2048
1,14376,1024
2,16244,1024
3,11156,1024
4,14260,1024
5,12112,1024
6,7296,512
7,14380,1024
8,5456,512
9,15932,1024
10,16148,1024
11,13456,1024
12,32276,2048
13,12108,1024
14,11468,1024
15,26864,2048
16,10248,1024
17,16960,1024
18,7008,512
19,7144,512
20,3004,256
21,16072,1024
22,11660,1024
23,14356,1024
24,14496,1024
25,25576,2048
26,7360,512
27,15952,1024
28,14516,1024
29,11396,1024
30,7208,512
31,16116,1024
32,27052,2048
33,6984,512
34,14460,1024
35,14488,1024
36,7076,512
37,7236,512
38,16172,1024
39,14516,1024
40,27260,2048
41,7280,512
42,16360,1024
43,7044,512
44,7020,512
45,27276,2048
46,3644,256
47,12136,1024
48,15460,1024
49,14376,1024
50,11376,1024
51,12416,1024
52,15420,1024
53,7200,512
54,7064,512
55,12264,1024
56,7212,512
57,7280,512
58,12180,1024
59,7220,512
60,2784,256
61,3224,256
62,7404,512
63,16388,1024
64,15208,1024
65,7188,512
66,15968,1024
67,15420,1024
68,7112,512
69,6744,512
70,11616,1024
71,16384,1024
72,23432,2048
73,14428,1024
74,16480,1024
75,14448,1024
76,6256,512
77,7332,512
78,14896,1024
79,23492,2048
80,5212,512
81,6288,512
82,16076,1024
83,7136,512
84,15764,1024
85,15808,1024
86,14332,1024
87,6292,512
88,16096,1024
89,11944,1024
90,7160,512
91,15784,1024
92,14632,1024
93,23260,2048
94,16332,1024
95,12392,1024
96,15856,1024
97,7196,512
98,16556,1024
99,16120,1024
