Trial Number,Score,Max Tile
0,4716,256
1,2844,256
2,588,64
3,6132,512
4,640,32
5,7852,512
6,1224,128
7,2432,256
8,4128,256
9,2104,128
10,5788,512
11,1744,128
12,2460,128
13,2596,256
14,6656,512
15,3908,256
16,2304,256
17,5708,512
18,4472,256
19,1268,64
20,6612,512
21,4072,256
22,4876,512
23,1712,128
24,736,64
25,1536,128
26,4748,256
27,2504,128
28,3200,256
29,2644,256
30,3168,256
31,784,64
32,5076,512
33,3136,256
34,3804,256
35,2288,256
36,3860,256
37,3588,256
38,1556,128
39,2600,256
40,6436,512
41,6620,512
42,3364,256
43,5332,512
44,1692,128
45,1624,128
46,5656,512
47,3236,256
48,2336,256
49,3020,256
